Comment,Description,Designator,Footprint,Quantity,LCSC Part Number

"CL21B103KBANNNC","MLCC 10nF 0805 50V X7R ±10%","C1","0605_065_A_N","1","C1710"
"RVT1A221M0605","Aluminium Electrolytic Capacitor 220uF CAPAE 10V ±20%","C2, C3","CAPAE 6354","2","C3345"
"CL21B105KBFNNNE","MLCC 1uF 0805 50V X7R ±10%","C5, C15","0805_125_F_N","2","C15849"
"CC0603KRX7R9BB104","MLCC 100nF 50V 0603 X7R ±10% ","C6, C20","0603","2","C14663"
"0402CG3R3C500NT","MLCC 3.3pF 0402 50V C0G ±0.25pF","C7, C19","0402_050","2","C1565"
"CL05B104KO5NNNC","MLCC 100nF 0402 16V X7R ±10%","C8, C17","0402_050_5_N","2","C1525"
"CL10A105KB8NNNC","MLCC 1uF 0603 50V X5R ±10%","C9, C18","0603_080_8_N","2","C15849"
"293D107X9016D2TE3","Tantalum Capacitor 100uF 16V ±20%","C11, C12, C13, C14, C22, C23, C24, C25","Case D","8","C129696"
"19-217/GHC-YR1S2/3T","LED 0603 SMT Green","D1, D4, D6","LED 0603","3","C72043"
"SS34","Schottky Barrier Diode 40V 3A0 550mV","D2, D3, D5","DO-214AC","3","C8678"
"12H1300C","Fuse SMD Slow Blow 3A 63VAC 1206","F1","1206_060","1","C182445"
"SWRB1207S-331MT","Inductor 330uH ±20% 0A95 640mR Moulded SMD 12.5x12.5x8.0mm","L1, L2","SWRB1207S","2","C169381"
"MICRO 4P DIP","Micro USB Connector SMT with TH Mounts","P1","MICRO 4P DIP","1","C456008"
"AO3401A","MOSFET Trench 4A0 30V 85mR ±12V P-Channel Enhancement AOS SOT-22-3L","Q1","SOT-23-3 (2N7002)","1","C15127"
"LBSS84LT1G","Small Signal MOSFET, 130 mA, 50 V, P-Channel, Enhancement, LRC SOT-23-3","Q2, Q3, Q7","SOT-23-3 (2N7002)","3","C8492"
"2N7002","Small Signal MOSFET, 500 mA, 60 V, N-Channel, Enhancement, JCET SOT-23-3","Q4, Q6, Q8","SOT-23-3 (2N7002)","3","C8545"
"SS8050","BJT NPN 1A5 25V SOT-23-3","Q5, Q9","SOT-23-3 Generic","2","C2150"
"0603WAF3300T5E","Lead Free Thick Film Chip Resistor 0805 ±1%","R1, R6, R27","0603","3","C23138"
"0603WAF1002T5E","Lead Free Thick Film Chip Resistor 0603 ±1%","R2, R12, R21, R30","0603","4","C25804"
"0603WAF2400T5E","Lead Free Thick Film Chip Resistor 0603 ±1%","R3, R18","0603","2","C23350"
"0603WAF1200T5E","Lead Free Thick Film Chip Resistor 0603 ±1%","R4, R5, R19, R33","0603","4","C22787"
"1206W4F680LT5E","Lead Free Thick Film Chip Resistor 1206 ±1%","R7, R20","1206","2","C19108"
"RK09K1130AU2","5K Potentiometer THT 9.8mm Diameter ±20% 20VDC","R8, R23","RK09K113","2","C388855"
"0603WAF2702T5E","Lead Free Thick Film Chip Resistor 0603 ±1%","R9, R10, R25, R26","0603","4","C22967"
"0603WAF2701T5E","Lead Free Thick Film Chip Resistor 0603 ±1%","R11, R24","0603","2","C13167"
"0603WAF5601T5E","Lead Free Thick Film Chip Resistor 0603 ±1%","R13, R17, R28, R31","0603","4","C23189"
"0603WAF1003T5E","Lead Free Thick Film Chip Resistor 0603 ±1%","R14, R22","0603","2","C25803"
"0603WAF5602T5E","Lead Free Thick Film Chip Resistor 0603 ±1%","R15, R29","0603","2","C23206"
"0603WAF8201T5E","Lead Free Thick Film Chip Resistor 0603 ±1%","R16, R32","0603","2","C25981"
"SK12D07L4B","Switch Toggle Slider THT Right Angle 0A3 50V","S1","SK12D07L4B","1","C480340"
"LM317LBDR2G","100mA, 1V2 - 37V Adjustable Output, Positive Voltage Regulator","U1","SOIC-8 NB","1","C274645"
"MC34063ADR2G","1A5 Step-Up, Step-Down, Inverting Switching Reulator","U2, U4","SOIC-8 NB","2","C32078"
"LM337LMX","100mA, -1V2 to -37V Adjustable Negative Voltage Regulator","U3","SOIC-8 D (R-PDSO-G8)","1","C7947"
