Altium Designer Pick and Place Locations
C:\Users\lawrencestanton\AppData\Local\Temp\Releases\Snapshot\1\Assembly JLCPCB SMT Assembley\Pick Place\Pick and Place.csv

========================================================================================================================
File Design Information:

Date:       09/04/21
Time:       22:28
Revision:   Not in VersionControl
Variant:    JLCPCB SMT Assembley
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R33","0603WAF1200T5E","TopLayer","0603","17.0000","50.0000","90","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R31","0603WAF5601T5E","TopLayer","0603","24.0000","15.0000","360","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R17","0603WAF5601T5E","TopLayer","0603","18.7750","59.9500","180","Lead Free Thick Film Chip Resistor 0603 ±1%"
"U3","LM337LMX","TopLayer","SOIC-8_D_(R-PDSO-G8)","42.7000","24.2000","90","100mA, -1V2 to -37V Adjustable Negative Voltage Regulator"
"U1","LM317LBDR2G","TopLayer","SOIC-8_NB","45.5000","49.8000","270","100mA, 1V2 - 37V Adjustable Output, Positive Voltage Regulator"
"U4","MC34063ADR2G","TopLayer","SOIC-8_NB","23.0000","18.5000","270","1A5 Step-Up, Step-Down, Inverting Switching Reulator"
"U2","MC34063ADR2G","TopLayer","SOIC-8_NB","22.5000","55.0000","90","1A5 Step-Up, Step-Down, Inverting Switching Reulator"
"S1","SK12D07L4B","TopLayer","SK12D07L4B","11.5000","46.0000","270","Switch Toggle Slider THT Right Angle 0A3 50V"
"R27","0603WAF3300T5E","TopLayer","0603","23.7000","6.8000","360","Lead Free Thick Film Chip Resistor 0805 ±1%"
"R21","0603WAF1002T5E","TopLayer","0603","22.8000","9.3000","90","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R19","0603WAF1200T5E","TopLayer","0603","27.0000","12.0000","180","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R22","0603WAF1003T5E","TopLayer","0603","28.2250","9.5000","90","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R14","0603WAF1003T5E","TopLayer","0603","23.4000","64.0000","90","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R6","0603WAF3300T5E","TopLayer","0603","23.8000","66.7000","180","Lead Free Thick Film Chip Resistor 0805 ±1%"
"R5","0603WAF1200T5E","TopLayer","0603","24.5000","60.5000","270","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R1","0603WAF3300T5E","TopLayer","0603","12.0000","27.5000","270","Lead Free Thick Film Chip Resistor 0805 ±1%"
"R2","0603WAF1002T5E","TopLayer","0603","15.5000","50.0000","270","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R18","0603WAF2400T5E","TopLayer","0603","27.0000","13.5000","360","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R24","0603WAF2701T5E","TopLayer","0603","36.5000","21.0000","180","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R30","0603WAF1002T5E","TopLayer","0603","15.5000","11.0500","360","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R12","0603WAF1002T5E","TopLayer","0603","20.0000","66.7000","360","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R11","0603WAF2701T5E","TopLayer","0603","51.3000","51.1000","360","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R3","0603WAF2400T5E","TopLayer","0603","41.7750","53.3200","180","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R23","RK09K1130AU2","TopLayer","RK09K113","36.0000","14.4130","180","5K Potentiometer THT 9.8mm Diameter ±20% 20VDC"
"R8","RK09K1130AU2","TopLayer","RK09K113","36.0000","59.0870","0","5K Potentiometer THT 9.8mm Diameter ±20% 20VDC"
"R32","0603WAF8201T5E","TopLayer","0603","12.0000","6.8500","360","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R26","0603WAF2702T5E","TopLayer","0603","15.5000","8.0500","180","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R25","0603WAF2702T5E","TopLayer","0603","17.4000","6.5000","180","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R16","0603WAF8201T5E","TopLayer","0603","10.5500","64.0000","270","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R10","0603WAF2702T5E","TopLayer","0603","17.0000","64.2500","180","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R9","0603WAF2702T5E","TopLayer","0603","17.0000","62.7500","180","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R29","0603WAF5602T5E","TopLayer","0603","28.0000","17.3000","90","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R28","0603WAF5601T5E","TopLayer","0603","27.0000","15.0000","360","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R20","1206W4F680LT5E","TopLayer","1206","15.5000","27.5000","90","Lead Free Thick Film Chip Resistor 1206 ±1%"
"R4","0603WAF1200T5E","TopLayer","0603","21.7750","58.4500","180","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R15","0603WAF5602T5E","TopLayer","0603","21.7750","59.9500","360","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R13","0603WAF5601T5E","TopLayer","0603","18.7750","58.4500","180","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R7","1206W4F680LT5E","TopLayer","1206","16.5000","42.0000","270","Lead Free Thick Film Chip Resistor 1206 ±1%"
"Q7","LBSS84LT1G","TopLayer","SOT-23-3_(2N7002)","25.5000","9.5000","0","Small Signal MOSFET, 130 mA, 50 V, P-Channel, Enhancement, LRC SOT-23-3"
"Q6","2N7002","TopLayer","SOT-23-3_(2N7002)","22.5000","12.5000","0","Small Signal MOSFET, 500 mA, 60 V, N-Channel, Enhancement, JCET SOT-23-3"
"Q4","2N7002","TopLayer","SOT-23-3_(2N7002)","26.0000","64.0000","180","Small Signal MOSFET, 500 mA, 60 V, N-Channel, Enhancement, JCET SOT-23-3"
"Q2","LBSS84LT1G","TopLayer","SOT-23-3_(2N7002)","27.0000","60.0000","0","Small Signal MOSFET, 130 mA, 50 V, P-Channel, Enhancement, LRC SOT-23-3"
"Q1","AO3401A","TopLayer","SOT-23-3_(2N7002)","24.0000","37.0000","180","MOSFET Trench 4A0 30V 85mR ±12V P-Channel Enhancement AOS SOT-22-3L"
