Altium Designer Pick and Place Locations
C:\Users\lawrencestanton\AppData\Local\Temp\Releases\Snapshot\1\Assembly\Panel_Pick Place\Pick and Place.csv

========================================================================================================================
File Design Information:

Date:       14/12/21
Time:       15:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R39","0603WAF1002T5E","TopLayer","0603_(Uniroyal)_B","2.9000","15.7000","180","Resistor 10K 0603 ±1% Thick Film Uniroyal"
"P5","A2541WV-2x5P","BottomLayer","Pin_Header_10_2_Vertical_Male","42.3800","18.9500","90","Pin Header 10 Way Double Row Vertical Angle"
"P4","A2541WV-2x5P","BottomLayer","Pin_Header_10_2_Vertical_Male","42.3800","59.5900","270","Pin Header 10 Way Double Row Vertical Angle"
"DS3","19-217/GHC-YR1S2/3T","TopLayer","LED_0603","18.0000","9.0500","180","LED 0603 SMT Green"
"DS2","19-217/GHC-YR1S2/3T","TopLayer","LED_0603","18.1000","69.2000","180","LED 0603 SMT Green"
"DS1","19-217/GHC-YR1S2/3T","TopLayer","LED_0603","1.7000","30.0000","270","LED 0603 SMT Green"
"C22","293D107X9016D2TE3","TopLayer","CASE_D","36.7000","31.0000","360","Tantalum Capacitor 100uF 16V ±20%"
"C21","MLCC 10pF 0603 50V C0G","TopLayer","0603_080_8_N","5.1500","9.5000","360","MLCC 10pF 0603 C0G ±0.1pF"
"C10","MLCC 10pF 0603 50V C0G","TopLayer","0603_080_8_N","4.9500","69.0000","360","MLCC 10pF 0603 C0G ±0.1pF"
"R18","0603WAF1002T5E","TopLayer","0603","11.8000","68.4000","360","Resistor 10K 0603 ±1% Thick Film Uniroyal"
"F2","nSMD020-30V","TopLayer","FUSE3216X09N","19.9000","39.5000","360","Fuse SMD PTC Resettable 460mA 30VDC 1206"
"U6","LMV321IDBVR","TopLayer","FP-DBV0005A-IPC_B","14.4500","13.0000","180","OP AMP, 1MHZ, 1V/uS, SOT-23-5, FULL REEL; Bandwidth:1MHz; No. of Amplifiers:1; Slew Rate:1V/ s; Supply Voltage Range:2.7V to 5.5V; Amplifier Case Style:SOT-23; No. of Pins:5; Operating Temperature Min:-40 C; Packaging:Tape & Reel ;RoHS Compliant: Yes"
"U3","LMV321IDBVR","TopLayer","FP-DBV0005A-IPC_B","16.9000","63.2000","270","OP AMP, 1MHZ, 1V/uS, SOT-23-5, FULL REEL; Bandwidth:1MHz; No. of Amplifiers:1; Slew Rate:1V/ s; Supply Voltage Range:2.7V to 5.5V; Amplifier Case Style:SOT-23; No. of Pins:5; Operating Temperature Min:-40 C; Packaging:Tape & Reel ;RoHS Compliant: Yes"
"R32","0603WAF1003T5E","TopLayer","0603","18.2000","11.0000","360","Resistor 100K 0603 ±1% Thick Film Uniroyal"
"R28","0603WAF5602T5E","TopLayer","0603","18.2000","14.0000","360","Resistor 56K 0603 ±1% Thick Film Uniroyal"
"R27","0603WAF1003T5E","TopLayer","0603","18.2000","15.5000","360","Resistor 100K 0603 ±1% Thick Film Uniroyal"
"R25","0603WAF3302T5E","TopLayer","0603","18.2000","12.5000","180","Resistor 33K 0603 ±1% Thick Film Uniroyal"
"R24","0603WAF3302T5E","TopLayer","0603","14.7000","15.5000","360","Resistor 33K 0603 ±1% Thick Film Uniroyal"
"R17","0603WAF1003T5E","TopLayer","0603","19.4500","63.7000","270","Resistor 100K 0603 ±1% Thick Film Uniroyal"
"R12","0603WAF3302T5E","TopLayer","0603","17.8000","66.9000","90","Resistor 33K 0603 ±1% Thick Film Uniroyal"
"R7","0603WAF3302T5E","TopLayer","0603","14.4000","66.3000","270","Resistor 33K 0603 ±1% Thick Film Uniroyal"
"R6","0603WAF6802T5E","TopLayer","0603","19.3000","66.9000","270","Resistor 68K 0603 ±1% Thick Film Uniroyal"
"R1","0805W8F0000T5E","BottomLayer","0805","17.5500","39.5000","360","Jumper 0805 2A Uniroyal"
"R4","0603WAF1200T5E","TopLayer","0603","8.2000","52.5000","90","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R37","0603WAF5601T5E","TopLayer","0603","15.2000","17.5000","360","Lead Free Thick Film Chip Resistor 0603 ±1%"
"R21","0603WAF5601T5E","TopLayer","0603","9.9750","62.4500","180","Lead Free Thick Film Chip Resistor 0603 ±1%"
"U4","LM337LZ/NOPB","TopLayer","TO-92_(LM337)","29.7000","26.0000","270","100mA, -1V2 to -37V Adjustable Negative Voltage Regulator"
"U1","LM317LBDR2G","TopLayer","SOIC-8_NB","36.7000","52.3000","270","100mA, 1V2 - 37V Adjustable Output, Positive Voltage Regulator"
"U5","MC34063ADR2G","TopLayer","SOIC-8_NB","14.2000","21.0000","270","1A5 Step-Up, Step-Down, Inverting Switching Reulator"
"U2","MC34063ADR2G","TopLayer","SOIC-8_NB","13.7000","57.5000","90","1A5 Step-Up, Step-Down, Inverting Switching Reulator"
"S1","SS12D07L2B","TopLayer","SS12D07","2.7000","48.5000","270","Switch Toggle Slider THT Vertical 0A3 50V"
